Timestamp,Chester_X,Chester_Y,Chester_Theta,Detected_Human_X,Detected_Human_Y,Detected_Distance,Detected_Confidence,True_Distance,Human_X,Human_Y
1746642436.27681,1.26073028756884,-0.571206150469763,-0.045050644507468,1.23459899425507,0.194336369633675,1.24980056285858,0.889995992183685,1.24980056285858,1.968573,1.057352
1746642436.76295,1.27343564300825,-0.571696795324096,-0.031827824940491,1.23459899425507,0.194336369633675,1.24980056285858,0.889995992183685,1.24980056285858,1.968573,1.057352
1746642437.2533,1.28360397571542,-0.571968487947598,-0.021248511844752,1.23459899425507,0.194336369633675,1.24980056285858,0.879328370094299,1.24980056285858,1.968573,1.057352
1746642437.7557,1.29377467539124,-0.572132448125995,-0.010669303437368,1.23459899425507,0.194336369633675,1.24980056285858,0.879328370094299,1.24980056285858,1.968573,1.057352
1746642438.26734,1.3053065026524,-0.57218834417804,0.001100227927914,1.2548234462738,0.176230296492577,1.26713812351227,0.834993720054626,1.26713812351227,1.968573,1.057352
1746642438.77054,1.31346752993412,-0.572151526044685,0.008184904111582,1.2548234462738,0.176230296492577,1.26713812351227,0.834993720054626,1.26713812351227,1.968573,1.057352
1746642439.29446,1.32378805333618,-0.57202122496971,0.017485496166946,1.1827038526535,0.123740158975124,1.18915939331055,0.89138662815094,1.18915939331055,1.968573,1.057352
1746642439.82953,1.33245344014845,-0.57183627864035,0.025433520222906,1.1827038526535,0.123740158975124,1.18915939331055,0.89138662815094,1.18915939331055,1.968573,1.057352
1746642440.25392,1.34236549344143,-0.571489145581621,0.046386004281992,1.18000268936157,0.412637382745743,1.25007033348084,0.880068123340607,1.25007033348084,1.968573,1.057352
1746642440.75331,1.35504173292478,-0.570723265923767,0.074883816659475,1.18000268936157,0.412637382745743,1.25007033348084,0.880068123340607,1.25007033348084,1.968573,1.057352
1746642441.25373,1.36389983199859,-0.569972848283854,0.094828679300938,1.18000268936157,0.412637382745743,1.25007033348084,0.880068123340607,1.25007033348084,1.968573,1.057352
1746642441.75566,1.37400261601224,-0.568899061693974,0.117622581658571,1.18000268936157,0.412637382745743,1.25007033348084,0.880068123340607,1.25007033348084,1.968573,1.057352
